"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","time_weeks","format","country","rob","db"
"1274","Zu, 2014","Zu_2014_remission(cut-off)_qids_post_0_self-report_cbt_cau_cbt(cbt+adm)_cau",0.076,0.323,"cbt","cau","China","UM","cbt (cbt+adm)","cau","0","ind","eas",1,"dep"
"1275","Alavi, 2020","Alavi_2020_msd_12_sr_cbt_cau_NA_NA",1.67646657594636,0.271084899400218,"cbt","cau","Iran","LM",NA,NA,"12","gsh","oth",0,"gad"
"1276","Andersson, 2012","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl",0.215274979445237,0.287103180731833,"cbt","wl","Sweden","H","cbt","wl","8","gsh","eu",0,"gad"
"1277","Andersson, 2012","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl",0.114524183406901,0.277584366334222,"dyn","wl","Sweden","H","dyn","wl","8","gsh","eu",0,"gad"
"1278","Andersson, 2012","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl",-0.0031254693247278,0.286251466873408,"cbt","wl","Sweden","H","cbt","wl","8","gsh","eu",0,"gad"
"1279","Andersson, 2012","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl",0.0505029090309542,0.277395670256741,"dyn","wl","Sweden","H","dyn","wl","8","gsh","eu",0,"gad"
"1280","Andersson, 2012","Andersson_2012_msd_8_sr_cbt_wl_cbt_wl",0.488135014653391,0.290604741225905,"cbt","wl","Sweden","H","cbt","wl","8","gsh","eu",0,"gad"
"1281","Andersson, 2012","Andersson_2012_msd_8_sr_dyn_wl_dyn_wl",0.372168117292633,0.279814183394721,"dyn","wl","Sweden","H","dyn","wl","8","gsh","eu",0,"gad"
"1282","Bakhshani, 2007","Bakhshani_2007_msd_8_sr_cbt_otherctr_NA_NA",-0.345517283936946,0.5390539518031,"cbt","other ctr","Iran","LM",NA,NA,"8","ind","oth",0,"gad"
"1283","Bakhshani, 2007","Bakhshani_2007_msd_8_sr_cbt_pl_NA_NA",1.02855853726432,0.597114616079292,"cbt","pl","Iran","LM",NA,NA,"8","ind","oth",0,"gad"
"1284","Bakhshani, 2007","Bakhshani_2007_msd_8_sr_otherctr_pl_NA_NA",1.15263626944413,0.607103722636992,"other ctr","pl","Iran","LM",NA,NA,"8","ind","oth",0,"gad"
"1285","Barlow, 1992","Barlow_1992_msd_15_cr_cbt_wl_ct_wl",1.91831828715114,0.512868687974577,"cbt","wl","USA","H","ct","wl","15","ind","us",0,"gad"
"1286","Barlow, 1992","Barlow_1992_msd_15_cr_ar_wl_ar_wl",1.63235114997249,0.522131823631822,"ar","wl","USA","H","ar","wl","15","ind","us",0,"gad"
"1287","Barlow, 1992","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl",1.40149571051439,0.491583074801907,"other psy","wl","USA","H","other psy","wl","15","ind","us",0,"gad"
"1288","Barlow, 1992","Barlow_1992_msd_15_cr_ct_wl_ct_wl",1.70337016113023,0.494790730451699,"ct","wl","USA","H","ct","wl","15","ind","us",0,"gad"
"1289","Barlow, 1992","Barlow_1992_msd_15_cr_ar_wl_ar_wl",-0.0657008664207925,0.447345109572938,"ar","wl","USA","H","ar","wl","15","ind","us",0,"gad"
"1290","Barlow, 1992","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl",1.19710737284399,0.47742259442552,"other psy","wl","USA","H","other psy","wl","15","ind","us",0,"gad"
"1291","Barlow, 1992","Barlow_1992_msd_15_cr_ct_wl_ct_wl",0.675651776442955,0.433134348103106,"ct","wl","USA","H","ct","wl","15","ind","us",0,"gad"
"1292","Barlow, 1992","Barlow_1992_msd_15_cr_ar_wl_ar_wl",0.90925050090755,0.471733318245018,"ar","wl","USA","H","ar","wl","15","ind","us",0,"gad"
"1293","Barlow, 1992","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl",0.190239751702804,0.438000101746315,"other psy","wl","USA","H","other psy","wl","15","ind","us",0,"gad"
"1294","Butler, 1987","Butler_1987_msd_12_cr_cbt_wl_NA_NA",NA,NA,"cbt","wl","United Kingdom","H",NA,NA,"12","gsh","uk",0,"gad"
"1295","Butler, 1987","Butler_1987_msd_12_cr_cbt_wl_NA_NA",NA,NA,"cbt","wl","United Kingdom","H",NA,NA,"12","gsh","uk",0,"gad"
"1296","Butler, 1991","Butler_1991_msd_12_cr_cbt_wl_cbt_wl",0.95501389682443,0.343196243262139,"cbt","wl","United Kingdom","H","cbt","wl","12","ind","uk",0,"gad"
"1297","Butler, 1991","Butler_1991_msd_12_cr_bt_wl_bt_wl",0.0783002316924018,0.329049662414542,"bt","wl","United Kingdom","H","bt","wl","12","ind","uk",0,"gad"
"1298","Carl, 2020","Carl_2020_msd_6_sr_cbt_wl_NA_NA",0.681008648673204,0.128593096870365,"cbt","wl","United Kingdom","H",NA,NA,"6","ind","uk",1,"gad"
"1299","Carl, 2020","Carl_2020_msd_6_sr_cbt_wl_NA_NA",0.57263970417985,0.127551025940437,"cbt","wl","United Kingdom","H",NA,NA,"6","ind","uk",1,"gad"
"1300","Cragan, 1984","Cragan_1984_msd_6_sr_cbt_wl_ct_wl",1.31728983080715,0.36968063773335,"cbt","wl","USA","H","ct","wl","6","grp","us",0,"gad"
"1301","Cragan, 1984","Cragan_1984_msd_6_sr_ar_wl_ar_wl",0.609210734599801,0.34182856165818,"ar","wl","USA","H","ar","wl","6","grp","us",0,"gad"
"1302","Dahlin, 2016","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA",0.975858368745276,0.229717303946848,"3rd","wl","Sweden","H",NA,NA,"9","gsh","eu",0,"gad"
"1303","Dahlin, 2016","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA",0.864779248752711,0.227035799038123,"3rd","wl","Sweden","H",NA,NA,"9","gsh","eu",0,"gad"
"1304","Dahlin, 2016","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA",0.546772687838153,0.221034487445785,"3rd","wl","Sweden","H",NA,NA,"9","gsh","eu",0,"gad"
"1305","Dugas, 2010","Dugas_2010_msd_12_cr_cbt_wl_cbt_wl",1.44980563003714,0.34473832974086,"cbt","wl","Canada","H","cbt","wl","12","ind","can",0,"gad"
"1306","Dugas, 2010","Dugas_2010_msd_12_cr_ar_wl_ar_wl",0.930405407071042,0.325822230438392,"ar","wl","Canada","H","ar","wl","12","ind","can",0,"gad"
"1307","Dugas, 2010","Dugas_2010_msd_12_sr_cbt_wl_cbt_wl",0.789664689110994,0.317810530563718,"cbt","wl","Canada","H","cbt","wl","12","ind","can",0,"gad"
"1308","Dugas, 2010","Dugas_2010_msd_12_sr_ar_wl_ar_wl",0.759729922929197,0.320300908186564,"ar","wl","Canada","H","ar","wl","12","ind","can",0,"gad"
"1309","Dugas, 2003","Dugas_2003_msd_14_cr_cbt_wl_NA_NA",1.26263764571576,0.30469535324945,"cbt","wl","Canada","H",NA,NA,"14","grp","can",0,"gad"
"1310","Dugas, 2003","Dugas_2003_msd_14_sr_cbt_wl_NA_NA",1.02449467738036,0.295703486115981,"cbt","wl","Canada","H",NA,NA,"14","grp","can",0,"gad"
"1311","Dugas, 2022","Dugas_2022_msd_12_cr_cbt_wl_NA_NA",2.2377785670025,0.363596982453505,"cbt","wl","Canada","H",NA,NA,"12","ind","can",0,"gad"
"1312","Dugas, 2022","Dugas_2022_msd_12_sr_cbt_wl_NA_NA",1.82425705452164,0.338917409214821,"cbt","wl","Canada","H",NA,NA,"12","ind","can",0,"gad"
"1313","Erickson, 2007","Erickson_2007_msd_11_sr_cbt_wl_NA_NA",-0.402630579491076,0.540666622205069,"cbt","wl","Canada","H",NA,NA,"11","grp","can",0,"gad"
"1314","Hoyer, 2009","Hoyer_2009_msd_15_cr_bt_wl_bt_wl",1.17902468511153,0.285093292265718,"bt","wl","Germany","H","bt","wl","15","ind","eu",0,"gad"
"1315","Hoyer, 2009","Hoyer_2009_msd_15_cr_ar_wl_ar_wl",1.09972149411052,0.28478489581124,"ar","wl","Germany","H","ar","wl","15","ind","eu",0,"gad"
"1316","Hoyer, 2009","Hoyer_2009_msd_15_sr_bt_wl_bt_wl",0.266608168702875,0.263808833544554,"bt","wl","Germany","H","bt","wl","15","ind","eu",0,"gad"
"1317","Hoyer, 2009","Hoyer_2009_msd_15_sr_ar_wl_ar_wl",1.37420316765219,0.295339801191007,"ar","wl","Germany","H","ar","wl","15","ind","eu",0,"gad"
"1318","Hui, 2017","Hui_2017_msd_12_sr_cbt_wl_NA_NA",2.16225629501332,0.318665156716943,"cbt","wl","China","UM",NA,NA,"12","grp","eas",0,"gad"
"1319","Hui, 2017","Hui_2017_msd_12_sr_cbt_wl_NA_NA",1.78042841239448,0.298829527434644,"cbt","wl","China","UM",NA,NA,"12","grp","eas",0,"gad"
"1320","Hui, 2017","Hui_2017_msd_12_sr_cbt_wl_NA_NA",1.26134968619762,0.276500851485506,"cbt","wl","China","UM",NA,NA,"12","grp","eas",0,"gad"
"1321","Jones, 2016","Jones_2016_msd_10_sr_cbt_wl_NA_NA",0.815576066304422,0.326375926398454,"cbt","wl","Canada","H",NA,NA,"10","gsh","can",1,"gad"
"1322","Jones, 2016","Jones_2016_msd_10_sr_cbt_wl_NA_NA",0.735662636136599,0.323958663320834,"cbt","wl","Canada","H",NA,NA,"10","gsh","can",1,"gad"
"1323","Ladouceur, 2000","Ladouceur_2000_msd_16_cr_cbt_wl_NA_NA",1.9958099558532,0.48625115360669,"cbt","wl","Canada","H",NA,NA,"16","ind","can",0,"gad"
"1324","Ladouceur, 2000","Ladouceur_2000_msd_16_sr_cbt_wl_NA_NA",1.98851120306504,0.485637596983044,"cbt","wl","Canada","H",NA,NA,"16","ind","can",0,"gad"
"1325","Levy Berg, 2009","LevyBerg_2009_msd_56_sr_otherpsy_cau_NA_NA",0.0725058014269431,0.257024373463996,"other psy","cau","Sweden","H",NA,NA,"56","ind","eu",0,"gad"
"1326","Linden, 2005","Linden_2005_msd_45_cr_cbt_wl_NA_NA",0.531009942892464,0.239909338926254,"cbt","wl","Germany","H",NA,NA,"45","ind","eu",0,"gad"
"1327","Lindsay, 1987","Lindsay_1987_msd_4_sr_cbt_wl_cbt_wl",1.07705559360421,0.481265619872962,"cbt","wl","United Kingdom","H","cbt","wl","4","ind","eu",0,"gad"
"1328","Lindsay, 1987","Lindsay_1987_msd_4_sr_ar_wl_ar_wl",0.509026095413014,0.455040501396523,"ar","wl","United Kingdom","H","ar","wl","4","ind","eu",0,"gad"
"1329","Lindsay, 1987","Lindsay_1987_msd_4_sr_cbt_wl_cbt_wl",1.23643881632938,0.491595589672941,"cbt","wl","United Kingdom","H","cbt","wl","4","ind","eu",0,"gad"
"1330","Lindsay, 1987","Lindsay_1987_msd_4_sr_ar_wl_ar_wl",0,0.447213595499958,"ar","wl","United Kingdom","H","ar","wl","4","ind","eu",0,"gad"
"1331","Lorian, 2012","Lorian_2012_msd_9_sr_cbt_wl_NA_NA",1.256538234678,0.332070767725132,"cbt","wl","Australia","H",NA,NA,"9","gsh","au",0,"gad"
"1332","Lorian, 2012","Lorian_2012_msd_9_sr_cbt_wl_NA_NA",0.932070985730688,0.319223088532498,"cbt","wl","Australia","H",NA,NA,"9","gsh","au",0,"gad"
"1333","Mennin, 2018","Mennin_2018_msd_20_cr_3rd_wl_NA_NA",2.18056306247304,0.349180780550953,"3rd","wl","USA","H",NA,NA,"20","ind","us",0,"gad"
"1334","Mennin, 2018","Mennin_2018_msd_20_sr_3rd_wl_NA_NA",2.201486958103,0.35045450179487,"3rd","wl","USA","H",NA,NA,"20","ind","us",0,"gad"
"1335","Mohlman, 2003","Mohlman_2003_msd_13_sr_cbt_wl_NA_NA",0.765092695449297,0.346350909417064,"cbt","wl","USA","H",NA,NA,"13","ind","us",0,"gad"
"1336","Mohlman, 2003","Mohlman_2003_msd_13_sr_cbt_wl_NA_NA",0.188762890049524,0.437983593753468,"cbt","wl","USA","H",NA,NA,"13","ind","us",0,"gad"
"1337","Newman, 2020","Newman_2020_msd_12_sr_cbt_otherctr_NA_NA",0.295704314565536,0.22235149729292,"cbt","other ctr","USA","H",NA,NA,"12","gsh","us",0,"gad"
"1338","Newman, 2020","Newman_2020_msd_12_sr_cbt_otherctr_NA_NA",0.314545511549958,0.222512099917411,"cbt","other ctr","USA","H",NA,NA,"12","gsh","us",0,"gad"
"1339","Nordahl, 2018","Nordahl_2018_msd_12_sr_cbt_wl_cbt_wl",0.817388781566826,0.30062444130313,"cbt","wl","Norway","H","cbt","wl","12","ind","eu",1,"gad"
"1340","Nordahl, 2018","Nordahl_2018_msd_12_sr_3rd_wl_otherpsy_wl",1.696914842894,0.326887444179163,"3rd","wl","Norway","H","other psy","wl","12","ind","eu",1,"gad"
"1341","Nordahl, 2018","Nordahl_2018_msd_12_sr_cbt_wl_NA_NA",0.898385450079912,0.303050746691087,"cbt","wl","Norway","H",NA,NA,"12","ind","eu",1,"gad"
"1342","Nordahl, 2018","Nordahl_2018_msd_12_sr_3rd_wl_NA_NA",1.77449137214498,0.330866668562338,"3rd","wl","Norway","H",NA,NA,"12","ind","eu",1,"gad"
"1343","Orvati Aziz, 2020","OrvatiAziz_2020_msd_15_cr_otherpsy_cau_otherpsy_otherctr",3.14465752738138,0.622626028848366,"other psy","cau","Iran","LM","other psy","other ctr","15","ind","oth",0,"gad"
"1344","Orvati Aziz, 2020","OrvatiAziz_2020_msd_15_cr_cbt_cau_cbt_otherctr",2.49009979652561,0.552483139012574,"cbt","cau","Iran","LM","cbt","other ctr","15","ind","oth",0,"gad"
"1345","Pallavicini, 2009","Pallavicini_2009_msd_8_cr_bt_wl_NA_NA",-0.0796779339978355,0.61262586312282,"bt","wl","Italy","H",NA,NA,"8","ind","eu",0,"gad"
"1346","Pallavicini, 2009","Pallavicini_2009_msd_8_sr_bt_wl_NA_NA",0.225353212214552,0.614396748483123,"bt","wl","Italy","H",NA,NA,"8","ind","eu",0,"gad"
"1347","Pallavicini, 2009","Pallavicini_2009_msd_8_sr_bt_wl_NA_NA",0.270822295029755,0.615293905823154,"bt","wl","Italy","H",NA,NA,"8","ind","eu",0,"gad"
"1348","Paxling, 2011","Paxling_2011_msd_8_sr_cbt_wl_NA_NA",NA,NA,"cbt","wl","Sweden","H",NA,NA,"8","gsh","eu",0,"gad"
"1349","Paxling, 2011","Paxling_2011_msd_8_sr_cbt_wl_NA_NA",NA,NA,"cbt","wl","Sweden","H",NA,NA,"8","gsh","eu",0,"gad"
"1350","Power, 1989","Power_1989_msd_6_cr_cbt_pl_cbt_pl",1.40078597457888,0.491530809556085,"cbt","pl","United Kingdom","H","cbt","pl","6","ind","eu",0,"gad"
"1351","Power, 1989","Power_1989_dich_6_cr_cbt_pl_cbt_pl",0.701049192821283,0.545168602682562,"cbt","pl","United Kingdom","H","cbt","pl","6","ind","eu",0,"gad"
"1352","Power, 1990","Power_1990_msd_10_cr_cbt_pl_cbt_pl",1.13397328368267,0.342027133097787,"cbt","pl","United Kingdom","H","cbt","pl","10","ind","eu",0,"gad"
"1353","Richards, 2016","Richards_2016_msd_7_sr_cbt_wl_NA_NA",0.324429938211212,0.172045171673771,"cbt","wl","Ireland","H",NA,NA,"7","gsh","eu",1,"gad"
"1354","Richards, 2016","Richards_2016_msd_7_sr_cbt_wl_NA_NA",0.179645015410417,0.171260596167229,"cbt","wl","Ireland","H",NA,NA,"7","gsh","eu",1,"gad"
"1355","Robinson, 2010","Robinson_2010_msd_10_sr_cbt_wl_NA_NA",1.26308240153303,0.191578125073893,"cbt","wl","Australia","H",NA,NA,"10","gsh","au",1,"gad"
"1356","Robinson, 2010","Robinson_2010_msd_10_sr_cbt_wl_NA_NA",1.06184819660657,0.187274654230152,"cbt","wl","Australia","H",NA,NA,"10","gsh","au",1,"gad"
"1357","Roemer, 2008","Roemer_2008_msd_16_cr_3rd_wl_NA_NA",1.64445511664543,0.418510719543903,"3rd","wl","USA","H",NA,NA,"16","ind","us",0,"gad"
"1358","Roemer, 2008","Roemer_2008_msd_16_sr_3rd_wl_NA_NA",1.88708405655071,0.435570575654408,"3rd","wl","USA","H",NA,NA,"16","ind","us",0,"gad"
"1359","Rogiers, 2021","Rogiers_2021_msd_12_sr_cbt_wl_NA_NA",0.889440678210055,0.236293977813629,"cbt","wl","Belgium","H",NA,NA,"12","grp","eu",0,"gad"
"1360","Rogiers, 2021","Rogiers_2021_msd_12_sr_cbt_wl_NA_NA",0.566433086904749,0.229865602905295,"cbt","wl","Belgium","H",NA,NA,"12","grp","eu",0,"gad"
"1361","Roy-Byrne, 2010","Roy-Byrne_2010_msd_26_sr_cbt_cau_NA_NA",0.335532030918051,0.073286767050586,"cbt","cau","USA","H",NA,NA,"26","ind","us",0,"gad"
"1362","Stanley, 2003","Stanley_2003_msd_15_cr_cbt_wl_NA_NA",0.98647138381789,0.266166920443419,"cbt","wl","USA","H",NA,NA,"15","grp","us",0,"gad"
"1363","Stanley, 2003","Stanley_2003_msd_15_sr_cbt_wl_NA_NA",1.07689381492027,0.268958186518434,"cbt","wl","USA","H",NA,NA,"15","grp","us",0,"gad"
"1364","Stanley, 2016","Stanley_2016_msd_12_sr_cbt_wl_NA_NA",0.59431003122887,0.341447275119461,"cbt","wl","USA","H",NA,NA,"12","ind","us",0,"gad"
"1365","Stanley, 2016","Stanley_2016_msd_12_sr_cbt_wl_NA_NA",0.485410870456545,0.338936723655723,"cbt","wl","USA","H",NA,NA,"12","ind","us",0,"gad"
"1366","Stanley, 2009","Stanley_2009_msd_12_cr_cbt_cau_NA_NA",0.321622785553361,0.189315618302012,"cbt","cau","USA","H",NA,NA,"12","ind","us",1,"gad"
"1367","Stanley, 2009","Stanley_2009_msd_12_sr_cbt_cau_NA_NA",0.903611054431785,0.197439550809453,"cbt","cau","USA","H",NA,NA,"12","ind","us",1,"gad"
"1368","Titov, 2009","Titov_2009_msd_9_sr_cbt_wl_NA_NA",1.21689656213742,0.326086402639962,"cbt","wl","Australia","H",NA,NA,"9","gsh","au",1,"gad"
"1369","Titov, 2009","Titov_2009_msd_9_sr_cbt_wl_NA_NA",0.934937564604466,0.315195167417412,"cbt","wl","Australia","H",NA,NA,"9","gsh","au",1,"gad"
"1370","Titov 2010","Titov2010_msd_8_sr_cbt_wl_NA_NA",0.0951389634579891,0.343795263763117,"cbt","wl","Australia","H",NA,NA,"8","gsh","au",1,"gad"
"1371","Van der Heiden, 2012","VanderHeiden_2012_msd_14_sr_3rd_wl_3rd_wl",1.07400716960455,0.276546394011969,"3rd","wl","Netherlands","H","3rd","wl","14","ind","eu",0,"gad"
"1372","Van der Heiden, 2012","VanderHeiden_2012_msd_14_sr_cbt_wl_cbt_wl",0.762096041695083,0.270836097968643,"cbt","wl","Netherlands","H","cbt","wl","14","ind","eu",0,"gad"
"1373","Van der Heiden, 2012","VanderHeiden_2012_msd_14_sr_3rd_wl_3rd_wl",0.492521201715703,0.264938414718958,"3rd","wl","Netherlands","H","3rd","wl","14","ind","eu",0,"gad"
"1374","Van der Heiden, 2012","VanderHeiden_2012_msd_14_sr_cbt_wl_cbt_wl",0.245841947673582,0.263931152222994,"cbt","wl","Netherlands","H","cbt","wl","14","ind","eu",0,"gad"
"1375","Van der Heiden, 2012","VanderHeiden_2012_msd_14_sr_3rd_wl_3rd_wl",0.573915597997058,0.266066382209232,"3rd","wl","Netherlands","H","3rd","wl","14","ind","eu",0,"gad"
"1376","Van der Heiden, 2012","VanderHeiden_2012_msd_14_sr_cbt_wl_cbt_wl",0.208102629800266,0.263700746328365,"cbt","wl","Netherlands","H","cbt","wl","14","ind","eu",0,"gad"
"1377","Vera, 2021","Vera_2021_msd_28_sr_3rd_cau_3rd_cau",0.854536844844624,0.299397814042509,"3rd","cau","Puerto Rico","H","3rd","cau","28","ind","oth",0,"gad"
"1378","Vera, 2021","Vera_2021_msd_28_sr_cbt_cau_cbt_cau",0.724467360136796,0.279023863539158,"cbt","cau","Puerto Rico","H","cbt","cau","28","ind","oth",0,"gad"
"1379","Vera, 2021","Vera_2021_msd_28_sr_3rd_cau_3rd_cau",0.169938565404633,0.287053806239911,"3rd","cau","Puerto Rico","H","3rd","cau","28","ind","oth",0,"gad"
"1380","Vera, 2021","Vera_2021_msd_28_sr_cbt_cau_cbt_cau",-0.0492322259062604,0.270123993632931,"cbt","cau","Puerto Rico","H","cbt","cau","28","ind","oth",0,"gad"
"1381","Wetherell, 2003","Wetherell_2003_msd_12_cr_cbt_wl_cbt_wl",0.761060469374215,0.333036098697795,"cbt","wl","USA","H","cbt","wl","12","grp","us",0,"gad"
"1382","Wetherell, 2003","Wetherell_2003_msd_12_cr_sup_wl_otherpsy_wl",0.387800393353501,0.324320585305951,"sup","wl","USA","H","other psy","wl","12","grp","us",0,"gad"
"1383","Wetherell, 2003","Wetherell_2003_msd_12_sr_cbt_wl_cbt_wl",0.627165886649084,0.329286638829845,"cbt","wl","USA","H","cbt","wl","12","grp","us",0,"gad"
"1384","Wetherell, 2003","Wetherell_2003_msd_12_sr_sup_wl_otherpsy_wl",0.590032325098311,0.328368422892617,"sup","wl","USA","H","other psy","wl","12","grp","us",0,"gad"
"1385","Wong, 2016","Wong_2016_msd_8_sr_3rd_cau_3rd_cau",0.533608649483477,0.188370589376982,"3rd","cau","China","UM","3rd","cau","8","grp","eas",0,"gad"
"1386","Wong, 2016","Wong_2016_msd_8_sr_pe_cau_pe_cau",0.63610092696772,0.189743449262825,"pe","cau","China","UM","pe","cau","8","grp","eas",0,"gad"
"1387","Wong, 2016","Wong_2016_msd_8_sr_3rd_cau_3rd_cau",0.297907751796274,0.186104437440292,"3rd","cau","China","UM","3rd","cau","8","grp","eas",0,"gad"
"1388","Wong, 2016","Wong_2016_msd_8_sr_pe_cau_pe_cau",0.610875008935408,0.189384197071073,"pe","cau","China","UM","pe","cau","8","grp","eas",0,"gad"
"1389","Woodward, 1980","Woodward_1980_msd_8_sr_cr_cau_ct_otherctr",0.132028224049658,0.535186532994486,"cr","cau","United Kingdom","H","ct","other ctr","8","grp","uk",0,"gad"
"1390","Woodward, 1980","Woodward_1980_msd_8_sr_ar_cau_ar_otherctr",0.759785641681575,0.556092137882151,"ar","cau","United Kingdom","H","ar","other ctr","8","grp","uk",0,"gad"
"1391","Woodward, 1980","Woodward_1980_msd_8_sr_cbt_cau_cbt_otherctr",0.928580871744413,0.589787154387498,"cbt","cau","United Kingdom","H","cbt","other ctr","8","grp","uk",0,"gad"
"1392","Zargar, 2012","Zargar_2012_msd_12_sr_3rd_cau_NA_NA",0.757414853135824,0.489684682527532,"3rd","cau","Iran","UM",NA,NA,"12","ind","oth",0,"gad"
"1393","Zargar, 2012","Zargar_2012_msd_12_sr_3rd_cau_NA_NA",0.216344166722172,0.472922424056536,"3rd","cau","Iran","UM",NA,NA,"12","ind","oth",0,"gad"
"1394","Zinbarg, 2007","Zinbarg_2007_msd_16_cr_cbt_wl_NA_NA",1.835970881159,0.572913968643375,"cbt","wl","USA","H",NA,NA,"16","ind","us",0,"gad"
"1395","Zinbarg, 2007","Zinbarg_2007_msd_16_sr_cbt_wl_NA_NA",1.86752446514854,0.576028826193017,"cbt","wl","USA","H",NA,NA,"16","ind","us",0,"gad"
"1396","Zinbarg, 2007","Zinbarg_2007_msd_16_sr_cbt_wl_NA_NA",0.371970873640839,0.478787370741843,"cbt","wl","USA","H",NA,NA,"16","ind","us",0,"gad"
"1397","Petry, 2006",NA,0.386020561574708,0.182616567486037,"cbt","cau","USA","H","f2f","cau","8","ind","us",2,"gam"
"1398","Petry, 2006",NA,0.0730101087397501,0.179941855241956,"cbt","cau","USA","H","wb","cau","8","ind","us",2,"gam"
"1399","Petry, 2008",NA,0.104309111146446,0.216327518347852,"cbt","ao","USA","H",NA,NA,"6","ind","us",4,"gam"
"1400","Petry, 2009",NA,0.244924970478235,0.288100003103087,"cbt","ao","USA","H",NA,NA,"6","ind","us",4,"gam"
"1401","Oei, 2018",NA,1.12134348429325,0.289912752525087,"cbt","wl","Australia","H",NA,NA,"7","ind","au",0,"gam"
"1402","Boudreault, 2018",NA,0.928651059085842,0.282714832289681,"cbt","wl","Canada","H",NA,NA,"11","ind","can",2,"gam"
"1403","Sylvain, 1997",NA,3.10757930482569,0.544941265650854,"cbt","wl","Canada","H",NA,NA,NA,"ind","can",0,"gam"
"1404","Harris, 2016",NA,1.35658346350371,0.402727908750111,"cbt","wl","Canada","H",NA,NA,"8","grp","can",1,"gam"
"1405","Ladouceur, 2001",NA,2.65401837483631,0.341411191190517,"cbt","wl","Canada","H",NA,NA,"12","ind","can",0,"gam"
"1406","Ladouceur, 2003",NA,1.63709758929495,0.300502629681259,"cbt","wl","Canada","H",NA,NA,"12","grp","can",0,"gam"
"1407","Marceaux, 2011",NA,3.29389305790606,0.663699905435417,"cbt","wl","USA","H",NA,NA,"8","grp","us",0,"gam"
"1408","Myrseth, 2009",NA,0.770185177652907,0.521142376557717,"cbt","wl","Norway","H",NA,NA,"7","ind","eu",0,"gam"
"1409","Toneatto, 2014",NA,1.14079843866459,0.487557885603909,"cbt","wl","Canada","H",NA,NA,"7","grp","can",1,"gam"
"1410","Boudreault, 2018",NA,0.593641469121034,0.274236422317425,"cbt","wl","Canada","H",NA,NA,"11","ind","can",2,"gam"
"1411","Carlbring, 2010",NA,-0.962549160441892,0.637987325120848,"cbt","wl","Sweden","H",NA,NA,"12","ind","eu",3,"gam"
"1412","Dowling, 2007",NA,1.06507991567754,0.380026722026754,"cbt","wl","Australia","H","ind","wl","12","ind","au",1,"gam"
"1413","Dowling, 2007",NA,0.851084311467346,0.348901302817836,"cbt","wl","Australia","H","grp","wl","12","grp","au",1,"gam"
"1414","Ladouceur, 2001",NA,0.732873456582666,0.256374587968511,"cbt","wl","Canada","H",NA,NA,"12","ind","can",0,"gam"
"1415","Wong, 2015",NA,0.141486239976643,0.350482973401764,"cbt","cau","China","UM",NA,NA,"10","grp","eas",1,"gam"
"1416","Abbott, 2018",NA,0.0229321034828201,0.146018833171357,"cbt","cau","Australia","H","wb + telephone","cau","12","ind","au",4,"gam"
"1417","Abbott, 2018",NA,-0.0603237442429514,0.14162890578167,"cbt","cau","Australia","H","wb","cau","12","ind","au",4,"gam"
"1418","Boudreault, 2018",NA,0.753874363099902,0.277857591033091,"cbt","wl","Canada","H",NA,NA,"11","ind","can",2,"gam"
"1419","Carlbring, 2010",NA,0,0.565266863719195,"cbt","wl","Sweden","H",NA,NA,"12","ind","eu",3,"gam"
"1420","Casey, 2017",NA,0.693763906713955,0.257822200113952,"cbt","wl","Australia","H",NA,NA,"6","ind","au",1,"gam"
"1421","Cunningham, 2019",NA,-0.0763760147349928,0.119980287963933,"cbt","wl","Canada","H",NA,NA,"6","ind","can",3,"gam"
"1422","Dowling, 2007",NA,1.26644385050317,0.389558736841667,"cbt","wl","Australia","H","ind","wl","12","ind","au",1,"gam"
"1423","Dowling, 2007",NA,0.876604540008169,0.349802788355625,"cbt","wl","Australia","H","grp","wl","12","grp","au",1,"gam"
"1424","Harris, 2016",NA,1.06590399830218,0.387361526144519,"cbt","wl","Canada","H",NA,NA,"8","grp","can",1,"gam"
"1425","Hodgins, 2001",NA,0.273060898521179,0.246531976983723,"cbt","wl","Canada","H","mi","wl","12","ind","can",0,"gam"
"1426","Hodgins, 2001",NA,0.203298195659059,0.242173256970371,"cbt","wl","Canada","H","wb","wl","12","ind","can",0,"gam"
"1427","LaBrie, 2012",NA,0.342479111497927,0.189926112216895,"cbt","wl","USA","H","nv-gt","wl","4","ind","us",1,"gam"
"1428","LaBrie, 2012",NA,0.0840158755575795,0.185406230811765,"cbt","wl","USA","H","nv-t","wl","4","ind","us",1,"gam"
"1429","LaBrie, 2012",NA,0.280586579654376,0.203676266744295,"cbt","wl","USA","H","ma-gt","wl","4","ind","us",1,"gam"
