study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,completer,time,time_weeks,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,m_baseline_arm1,sd_baseline_arm1,n_baseline_arm1,m_baseline_arm2,sd_baseline_arm2,n_baseline_arm2,dich_type,event_arm1,event_arm2,totaln_arm1,totaln_arm2,.g,.g_se,condition_arm1.detail,condition_arm2.detail,condition_arm1.lumped_category,condition_arm1.intermediate_category,condition_arm1.meta_analysis,n_randomized_arm1,n_randomized_arm2,total_n_randomized,condition_arm1.psychotherapy_subclass,condition_arm1.treatment_description,condition_arm1.session_length,condition_arm1.frequency,condition_arm1.treatment_duration_detail,format,delivery_method,narrow_category,study_class,def_treatment_completion,percent_completed,psychotherapy_sessions_mean,psychotherapy_sessions_sd,psychotherapy_sessions_qual,military_status,percent_community,mean_age,country,female_percent,trauma_type,trauma_detail,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,rob,rob_numeric,arms_compared,year_added_to_ptsd_repository,intervention_group_ctr,design,outcome_assessment_type,statistical_analysis,g_data_source,precalc_g,precalc_g_se,intervention_group.arm1,intervention_group.arm2,year_added_to_repo,.id,ptsd_pubs_id,study_id,.log_rr,.log_rr_se,.event_arm1,.event_arm2,.totaln_arm1,.totaln_arm2,trtResponder,nTrt,ctrResponder,nCtr,logRR,seLogRR,logOR,seLogOR,full_ref
"Reger, 2016",PE,Waitlist,Prolonged Exposure (PE) B,Waitlist,msd,CAPS,itt,post,5,clinician,44.28,33.73,32,68.06,24.27,47,78.28,16.35,54,78.89,16.87,54,,,,,,0.8274148366,0.238632659,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,54,54,162,Trauma-focused,"Manualized intervention according to Foa et al. (2007), includes psychoeducation, breathing retraining, repeated and prolonged imaginal exposure to traumatic memory, cognitive and emotional processing of traumatic material, and in vivo exposure to safe but feared situations",90 minutes,Once or twice weekly,10 sessions total,Individual,In Person,PE,Psychotherapy,completed 10 sessions,0.5926,7.5,3.46,,Active Duty Military,0,30.27,U.S.,0.037,Combat-related,NR,Low,Low,Some Concerns,High,Low,High,1,B vs C,2020,C,ps-ps-ct,Structured Clinical Interview,Linear mixed effects regression model; effect size using regression coefficients standardized to the total sample baseline SD; test of superiority for active treatments over waitlist and VRE over PE reporting one-tailed p-values; a posteriori two-tailed CIs for PE vs VRE,Follow-up,0.827,0.239,B,C,2020,Reger_2016_precalcfromVA_CAPS_post_5.00_clinician_PE_Waitlist_ProlongedExposure(PE)B_Waitlist,45485,reger2016,,,,,,,14,32,6,47,1.231709559297536,0.4307767894751959,1.670498169195347,0.563951272321672,"Reger GM, Koenen-Woods P, Zetocha K, et al. Randomized controlled trial of prolonged exposure using imaginal exposure vs. virtual reality exposure in active duty soldiers with deployment-related posttraumatic stress disorder (PTSD). J Consult Clin. Psychol. 2016 Nov;84(11):946-59. doi: 10.1037/ccp0000134. PMID: 27606699."
"Resick, 2002",TF-Cognitive Therapy,Other,Cognitive Processing Therapy (CPT) A,Minimal attention,msd,CAPS,itt,post,6,clinician,39.08,31.12,62,69.26,18.55,47,74.76,18.77,62,69.85,19.57,47,,,,,,1.132648996,0.2082643327,Cognitive Processing Therapy (CPT),Minimal attention,TF-CBT,Primarily cognitive,TF-CT,62,47,171,Trauma-focused,Manualized therapy including cognitive therapy and exposure in the form of writing and reading about the traumatic event,"60 minutes for initial session, all others 90 minutes",Twice weekly,,Individual,In Person,TF-Cognitive Therapy,Psychotherapy,completed all 12 sessions,0.6613,,,,Community,1,32,U.S.,1,Mixed,"child sexual abuse, rape/sexual assault",Some Concerns,Low,High,Low,Low,High,1,A vs C,2019,C,ps-ps-ct,Structured Clinical Interview,repeated measures MANOVA followed by one-way ANOVA and post hoc Tukey's honestly significant difference test,Follow-up,1.133,0.209,A,C,2019,Resick_2002_precalcfromVA_CAPS_post_6.00_clinician_TF-CognitiveTherapy_Other_CognitiveProcessingTherapy(CPT)A_Minimalattention,14652,resick2002,,,,,,,30,62,2,47,2.431063417767177,0.7042213468296655,3.048976788072803,0.7660323462854265,"Resick PA, Nishith P, Weaver TL, et al. A comparison of cognitive-processing therapy with prolonged exposure and a waiting condition for the treatment of chronic posttraumatic stress disorder in female rape victims. J Consult Clin Psychol. 2002 Aug;70(4):867-79.  PMID: 12182270."
"Resick, 2002",PE,Other,Prolonged Exposure (PE) B,Minimal attention,msd,CAPS,itt,post,6,clinician,44.89,33.52,62,69.26,18.55,47,76.6,19.72,62,69.85,19.57,47,,,,,,0.8617816038,0.2021403938,Prolonged Exposure (PE),Minimal attention,TF-CBT,Primarily exposure,Prim exposure,62,47,171,Trauma-focused,"Includes education-rationale, breathing retraining, behavioral exposures, and imaginal exposures","60 minutes for initial session, all others 90 minutes",Twice weekly,,Individual,In Person,PE,Psychotherapy,completed all 12 sessions,0.6452,,,,Community,1,32,U.S.,1,Mixed,"child sexual abuse, rape/sexual assault",Some Concerns,Low,High,Low,Low,High,1,B vs C,2019,C,ps-ps-ct,Structured Clinical Interview,repeated measures MANOVA followed by one-way ANOVA and post hoc Tukey's honestly significant difference test,Follow-up,0.862,0.202,B,C,2019,Resick_2002_precalcfromVA_CAPS_post_6.00_clinician_PE_Other_ProlongedExposure(PE)B_Minimalattention,14652,resick2002,,,,,,,26,62,2,47,2.287962574126504,0.7078530288547144,2.788092908775746,0.7671124679351382,"Resick PA, Nishith P, Weaver TL, et al. A comparison of cognitive-processing therapy with prolonged exposure and a waiting condition for the treatment of chronic posttraumatic stress disorder in female rape victims. J Consult Clin Psychol. 2002 Aug;70(4):867-79.  PMID: 12182270."
"Rothbaum, 1997",EMDR,Waitlist,,,msd,PSS-I,completer,post,4,clinician,14.3,8.4,10,35,5.9,8,33.3,8.7,10,39,8.2,8,,,,,,2.660224282,0.6646253025,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,11,10,21,Trauma-focused,"Individual sessions following treatment manual; patient imagines a scene that represents the entire trauma, focusing on sensations of anxiety while rehearsing words that match the picture and simultaneously follows therapist's finger moving back and forth until anxiety is decreased; patient then follows same procedure while rehearsing new, preferred belief, until the new statement feels true to the patient. The first session was comprised of information gathering, without EMDR.",90 minutes,Weekly,,Individual,In Person,EMDR,Psychotherapy,,,,,,Community,1,34.2,U.S.,1,Rape/sexual assault,NR,High,High,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,Wilcoxon Rank Sums test,Follow-up,2.66,0.688,A,B,2019,Rothbaum_1997_precalcfromVA_PSS-I_post_4.00_clinician_EMDR_Waitlist_NA_NA,9058,rothbaum1997,,,,,,,6,10,0,8,Inf,Inf,Inf,Inf,Rothbaum BO. A controlled study of Eye Movement Desensitization and Reprocessing in the treatment of posttraumatic stress disordered sexual assault victims. Bull Menninger Clin. 1997 Summer;61(3):317-34.  PMID: 9260344.
"Rothbaum, 2005",EMDR,Waitlist,Eye Movement Desensitization and Reprocessing (EMDR) A,Waitlist,dich,CAPS,completer,post,,clinician,,,,,,,,,,,,,Not meeting criteria for diagnosis of PTSD,15,2,20,20,1.780988971,0.4999255808,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,25,24,72,Trauma-focused,"Patient imagines a scene representing the worst part of the trauma, focuses on sensations of distress and rehearses negative thoughts, simultaneously following therapist's fingers back and forth at least 20 times each repetition until distress drops to 0 or 1 (measured 0 to 10 on subjective units of discomfort scale); patient then rehearses new, preferred belief while tracking therapist's finger until new statement feels true to the participant; uses cognitive interweaves to accomplish cognitive work. First two sessions for education and treatment planning; remaining 7 sessions were EMDR treatment.",90 minutes,Twice weekly,9 sessions total,Individual,In Person,EMDR,Psychotherapy,completed treatment protocol,0.8,,,,Community,1,33.8,U.S.,1,Rape/sexual assault,NR,High,High,Low,High,Low,High,1,A vs C,2019,,ps-ps-ct,,,,1.780988971,0.4999255808,A,,2019,Rothbaum_2005_dich_CAPS_post_NA_NA_EMDR_Waitlist_EyeMovementDesensitizationandReprocessing(EMDR)A_Waitlist,19662,rothbaum2005,2.014903021,0.6831300511,15,2,20,20,,,,,,,,,"Rothbaum BO, Astin MC, Marsteller F. Prolonged exposure versus Eye Movement Desensitization and Reprocessing (EMDR) for PTSD rape victims. J Trauma Stress. 2005 Dec;18(6):607-16. doi: 10.1002/jts.20069. PMID: 16382428."
"Rothbaum, 2005",PE,Waitlist,Prolonged Exposure (PE) B,Waitlist,dich,CAPS,completer,post,,clinician,,,,,,,,,,,,,Not meeting criteria for diagnosis of PTSD,19,2,20,20,2.778428199,0.6991639807,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,23,24,72,Trauma-focused,"Patients instructed to imaging assault scene and describe aloud while anxiety levels are monitored, repeating the process for 45 to 60 minutes, followed by discussion of patient's reaction; patients instructed to listen to recording of narrative at least once a day and assigned homework. Two sessions for treatment planning including construction of a hierarchy of avoided situations for in vivo exposure homework; 7 sessions of imaginative exposure.",90 minutes,Twice weekly,9 sessions total,Individual,In Person,PE,Psychotherapy,completed treatment protocol,0.87,,,,Community,1,33.8,U.S.,1,Rape/sexual assault,NR,High,High,Low,High,Low,High,1,B vs C,2019,,ps-ps-ct,,,,2.778428199,0.6991639807,B,,2019,Rothbaum_2005_dich_CAPS_post_NA_NA_PE_Waitlist_ProlongedExposure(PE)B_Waitlist,19662,rothbaum2005,2.251291799,0.6727789971,19,2,20,20,,,,,,,,,"Rothbaum BO, Astin MC, Marsteller F. Prolonged exposure versus Eye Movement Desensitization and Reprocessing (EMDR) for PTSD rape victims. J Trauma Stress. 2005 Dec;18(6):607-16. doi: 10.1002/jts.20069. PMID: 16382428."
"Shapiro, 2015",EMDR,Waitlist,,,msd,IES,other,post,0.29,self-report,21.25,15.53,8,42.61,14.84,9,41.63,11.46,8,44.28,17.54,9,,,,,,1.336807491,0.5426360174,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,8,9,17,Trauma-focused,"Brief EMDR (2 to 4 sessions), consisting of an adaptation of EMDR and Recent Event protocols",90 minutes,Once daily,,Individual,In Person,EMDR,Psychotherapy,,,,,,Community,1,39.8,Israel,0.941,Terrorism/political violence/forced displacement,NR,Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Self report,Repeated measures ANOVA for between-group mean score change,Follow-up,1.337,0.551,A,B,2019,Shapiro_2015_precalcfromVA_IES_post_0.29_self-report_EMDR_Waitlist_NA_NA,47811,shapiro2015,,,,,,,4,8,1,9,1.504077396776274,1.006920497799548,2.079441541679836,1.274754878398196,"Shapiro E, Laub B. Early EMDR intervention following a community critical incident: a randomized clinical trial. Journal of EMDR Practice and Research. 2015 Feb;9(1):17-27. doi: 10.1891/1933-3196.9.1.17."
"Simpson, 2022",TF-Cognitive Therapy,Other,,,msd,CAPS,itt,post,20,clinician,17.43,11.26,28,25.9,11.32,21,33.51,7.64,41,32.09,8.12,22,,,,,,0.7384755027,0.2984644499,Cognitive Processing Therapy (CPT),Assessment,TF-CBT,Primarily cognitive,TF-CT,41,22,101,Trauma-focused,12-session cognitive processing therapy without trauma narratives,,Once or twice per week,12 sessions could be completed in 6-20 weeks,Individual,In Person,TF-Cognitive Therapy,Psychotherapy,Attending 9-12 sessions,0.5366,,,,Mixed,0.71,42.1,U.S.,0.56,Mixed,"Combat-related; Rape/sexual assault; Community/school violence; Other (""traumatic loss"", ""another trauma type"")",Low,Low,Low,Low,Low,Low,3,B vs C,2023,C,ps-ct,Structured Clinical Interview,Linear mixed effects models,Follow-up,0.738,0.299,B,C,2023,Simpson_2022_precalcfromVA_CAPS_post_20.00_clinician_TF-CognitiveTherapy_Other_NA_NA,1613818,simpson2022,,,,,,,13,28,4,21,0.8909729238898652,0.4935481167928246,1.303818139295652,0.672616735594282,"Simpson TL, Kaysen DL, Fleming CB, et al. Cognitive processing therapy or relapse prevention for comorbid posttraumatic stress disorder and alcohol use disorder: a randomized clinical trial. PLoS One. 2022;17(11):e0276111. doi: 10.1371/journal.pone.0276111. PMID: 36445895."
"Sloan, 2012",Exposure Therapy,Waitlist,,,dich,CAPS,itt,post,5,clinician,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS,21,3,22,24,2.704203348,0.658964069,Written Exposure Therapy (WET),Waitlist,TF-CBT,Primarily exposure,Prim exposure,22,24,46,Trauma-focused,"Exposure through writing about the same motor vehicle accident each session. Initial session focused on describing the event in detail and delving into deepest emotions and thoughts at the time of the accident; remaining sessions focused on most distressing part of the event (""hot spot""), and how it had affected participant's life. The therapist read writing instructions and answered questions; participants were left alone in the room for the writing exercise; therapists addressed concerns at the end of the writing exercise, checked that instructions were followed, and instructed participant to allow experiencing of trauma-related memories, images, thoughts, or feelings in between sessions.","1 hour (first session), 40 minutes (remaining 4 sessions); writing exercises 30 minutes per session",Weekly,,Individual,In Person,Exposure Therapy,Psychotherapy,completed all 5 treatment sessions,0.9091,,,,Community,1,40.65,U.S.,0.65,Accidents,NR,Low,Low,Low,Low,Low,Low,3,A vs B,2019,,ps-ct,,,,2.704203348,0.658964069,A,,2019,Sloan_2012_dich_CAPS_post_5.00_NA_ExposureTherapy_Waitlist_NA_NA,39268,sloan2012,2.032921526,0.5420619603,21,3,22,24,,,,,,,,,"Sloan DM, Marx BP, Bovin MJ, et al. Written exposure as an intervention for PTSD: a randomized clinical trial with motor vehicle accident survivors. Behav Res Ther. 2012 Oct;50(10):627-35. doi: 10.1016/j.brat.2012.07.001. PMID: 22863540."
"Spence, 2011",Other non-trauma-focused,Waitlist,,,msd,PCL,itt,post,8,self-report,44.78,17.29,21,51.79,12.51,19,60.78,10.03,23,57,9.69,19,,,,,,0.4516009457,0.3207870266,Internet-based facilitated self-help,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,23,21,44,,"Online lessons include in vivo and imaginal exposure, cognitive restructuring, and de-arousal strategies. Also includes an online discussion forum moderated by the therapist and written resources about assertiveness skills, anger management, strategies for improving sleep, diet, exercise, and reducing drug and alcohol use",,,7 lessons total,Individual,Technology Assisted,Other non-trauma-focused,Other study class,,,6.74,0.54,,Community,1,42.6,Australia,0.8095,Mixed,"rape/sexual assault, accidents, community/school violence, other (not specified)",Low,Low,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,"ANCOVA for mean scores, chi-square for diagnostic change",Follow-up,0.452,0.321,A,B,2019,Spence_2011_precalcfromVA_PCL_post_8.00_self-report_Othernon-trauma-focused_Waitlist_NA_NA,37944,spence2011,,,,,,,4,21,1,19,1.286210902562908,1.072263667869794,1.443452774959839,1.168066387226051,"Spence J, Titov N, Dear BF, et al. Randomized controlled trial of internet-delivered cognitive behavioral therapy for posttraumatic stress disorder. Depress Anxiety. 2011 Jul;28(7):541-50. doi: 10.1002/da.20835. PMID: 21721073."
"Steinert, 2016",Other non-trauma-focused,Waitlist,,,msd,HTQ,completer,post,5,self-report,1.39,0.557,52,2.86,0.555,32,,,,,,,,,,,,2.61847643,0.303400829,Coping skills treatment,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,53,33,86,Non-Trauma-focused,"Manualized trauma therapy aimed at strengthening resilience and coping capacities. Treatment elements include: psychoeducation; establishing a sense of safety and control; strengthening the adult ego of the patient, and focus on resource activation to enhance emotion regulation; techniques taught to patients include: imaginative techniques to distance from overwhelming traumatic emotions and intrusions; grounding techniques to help manage dissociative crises; and resource development and installation (an EMDR technique).",1 hour,Weekly,,Individual,In Person,Other non-trauma-focused,Psychotherapy,Completion: completed treatment course,0.9811,,,,Community,1,27.5,Cambodia,0.6071,Mixed,"intimate partner violence, accidents, rape/sexual assault, combat-related, community/school violence, other (trafficking)",Some Concerns,Low,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,General linear regression models for continuous outcomes; binary logistic regression for categorical outcomes; Bonferroni-corrected alpha=0.01; adjusted odds ratios and Cohen's d effect sizes.,Follow-up,2.618,0.305,A,B,2019,Steinert_2016_precalcfromVA_HTQ_post_5.00_self-report_Othernon-trauma-focused_Waitlist_NA_NA,45144,steinert2016,,,,,,,,52,,32,,,,,"Steinert C, Bumke PJ, Hollekamp RL, et al. Treating post-traumatic stress disorder by resource activation in Cambodia. World Psychiatry. 2016 Jun;15(2):183-5. doi: 10.1002/wps.20303. PMID: 27265714."
"Tylee, 2017",TF-Other,Waitlist,,,msd,PSS-I,completer,post,,clinician,9.7,8.3,15,38.9,8.1,15,37.3,6.5,15,38.7,6.7,15,,,,,,3.464475415,0.5870641889,Reconsolidation of Traumatic Memories (RTM),Waitlist,TF-Other,TF-Other,TF-Other,15,15,30,Trauma-focused,"Brief cognitive intervention targeting the intrusive symptoms of PTSD; procedure includes minimal, nontraumatizing exposure to target trauma, providing dissociative experiences of traumatic memory with structural alterations as needed, design of nontraumatizing versions, and ending when trauma can't be evoked and narrative can be told without significant autonomic arousal. Sessions were separated by ‚â•24 hours.",120 minutes,,3 sessions total,Individual,In Person,TF-Other,Psychotherapy,completed treatment course,1,,,,Veteran,0,45.8,U.S.,0,Mixed,"combat-related, other (not specified)",Some Concerns,Low,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,Repeated-measures ANOVA with Greenhouse-Geisser correction as needed; post-hoc tests with family-wise Bonferroni correction,Follow-up,3.464,0.602,A,B,2019,Tylee_2017_precalcfromVA_PSS-I_post_NA_clinician_TF-Other_Waitlist_NA_NA,49612,tylee2017,,,,,,,13,15,0,15,Inf,Inf,Inf,Inf,"Tylee DS, Gray R, Glatt SJ, et al. Evaluation of the reconsolidation of traumatic memories protocol for the treatment of PTSD: a randomized, wait-list-controlled trial. J Mil Veteran Fam Health. 2017;3(1):21-33. doi: 10.3138/jmvfh.4120."
"Ulmer, 2011",Mixed psychotherapy,Other,,,msd,PCL,itt,post,12,self-report,45.25,10.53,9,66.08,8.97,9,63.08,12.47,13,63.44,11.66,9,,,,,,2.028196557,0.5900852894,Cognitive Behavioral Therapy for Insomnia (CBT-I) + Imagery Rehearsal Training (IRT),Electronic sleep diary,Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,13,9,22,Trauma-focused,"3 sessions of CBT for insomnia followed by 3 sessions of imagery rehearsal therapy; CBT for insomnia: individually tailored behavioral regimen based on sleep restriction theory, stimulus control, sleep hygiene, and identification and restructuring of dysfunctional beliefs and attitudes regarding sleep; imagery rehearsal therapy: included education about the role of learning in nightmares, visual imagery skill building, and instruction in rescripting nightmares. Participants also used an electronic sleep diary to record subjective sleep symptoms daily (interactive program on hand-held computer).",1 hour,Biweekly,,Individual,In Person,Mixed psychotherapy,Psychotherapy,completed treatment course,0.6923,,,,Veteran,0,45.96,U.S.,0.3182,NR,NR,Some Concerns,Low,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,ITT: linear mixed-effects models (PROC MIXED in SAS); Cohen's d effect size,Follow-up,2.028,0.605,A,B,2019,Ulmer_2011_precalcfromVA_PCL_post_12.00_self-report_Mixedpsychotherapy_Other_NA_NA,36068,ulmer2011,,,,,,,1,9,0,9,Inf,Inf,Inf,Inf,"Ulmer CS, Edinger JD, Calhoun PS. A multi-component cognitive-behavioral intervention for sleep disturbance in veterans with PTSD: a pilot study. J Clin Sleep Med. 2011 Feb 15;7(1):57-68.  PMID: 21344046."
"van den Berg, 2015",PE,Waitlist,Prolonged Exposure (PE) A,Waitlist,msd,CAPS,itt,post,8,clinician,37.8,23.763,53,56.5,24.011,47,69.6,14.9,53,68.1,15.9,47,,,,,,0.7770825964,0.2078717816,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,53,47,155,Trauma-focused,"A psychotherapeutic approach that reduces PTSD symptom-severity by systematically exposing the subject, in both imaginary and in vivo ways, to previously avoided traumatic internal and external stimuli.",90 minutes,Weekly,,Individual,In Person,PE,Psychotherapy,NR; early completion defined as PSS-SR ≤10 on two consecutive occasions,,7.1,,Completers only,Community,1,41.2,The Netherlands,0.5419,Mixed,"rape/sexual assault, child sexual abuse, child other abuse, accidents, natural or manmade disasters, other (traumatic psychosis, war, physical abuse)",Low,Low,Low,High,Low,High,1,A vs C,2019,C,ps-ps-ct,Structured Clinical Interview,Logistic generalized estimating equation analyses with exchangeable correlation structure for dichotomous outcomes; linear mixed models for continuous variables; Cohen's d between-group effect sizes using estimated data from linear mixed model,Follow-up,0.777,0.208,A,C,2019,vandenBerg_2015_precalcfromVA_CAPS_post_8.00_clinician_PE_Waitlist_ProlongedExposure(PE)A_Waitlist,43279,vandenberg2015,,,,,,,24,53,8,47,0.9784679768260465,0.3556995169995089,1.394878104811282,0.4762252103032577,"van den Berg DP, de Bont PA, van der Vleugel BM, et al. Prolonged exposure vs Eye Movement Desensitization and Reprocessing vs waiting list for posttraumatic stress disorder in patients with a psychotic disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Mar;72(3):259-67. doi: 10.1001/jamapsychiatry.2014.2637. PMID: 25607833."
"van den Berg, 2015",EMDR,Waitlist,Eye Movement Desensitization and Reprocessing (EMDR) B,Waitlist,msd,CAPS,itt,post,8,clinician,40.3,24.969,55,56.5,24.011,47,72.1,17.6,55,68.1,15.9,47,,,,,,0.6553710235,0.2039506863,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,55,47,155,Trauma-focused,A psychotherapeutic approach in which memory representations of traumatic life experiences are processed in order to change dysfunctional beliefs about self or others that originated from damaging traumatic experiences.,90 minutes,Weekly,,Individual,In Person,EMDR,Psychotherapy,NR; early completion defined as PSS-SR ≤10 on two consecutive occasions,,7.8,,Completers only,Community,1,41.2,The Netherlands,0.5419,Mixed,"rape/sexual assault, child sexual abuse, child other abuse, accidents, natural or manmade disasters, other (traumatic psychosis, war, physical abuse)",Low,Low,Low,High,Low,High,1,B vs C,2019,C,ps-ps-ct,Structured Clinical Interview,Logistic generalized estimating equation analyses with exchangeable correlation structure for dichotomous outcomes; linear mixed models for continuous variables; Cohen's d between-group effect sizes using estimated data from linear mixed model,Follow-up,0.655,0.204,B,C,2019,vandenBerg_2015_precalcfromVA_CAPS_post_8.00_clinician_EMDR_Waitlist_EyeMovementDesensitizationandReprocessing(EMDR)B_Waitlist,43279,vandenberg2015,,,,,,,24,55,8,47,0.9414267051456973,0.3566626595820869,1.32818673031261,0.4738836954610501,"van den Berg DP, de Bont PA, van der Vleugel BM, et al. Prolonged exposure vs Eye Movement Desensitization and Reprocessing vs waiting list for posttraumatic stress disorder in patients with a psychotic disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Mar;72(3):259-67. doi: 10.1001/jamapsychiatry.2014.2637. PMID: 25607833."
"van Denderen, 2018",Mixed psychotherapy,Waitlist,Eye Movement Desensitization and Reprocessing (EMDR) + cognitive behavioral therapy (CBT) without a trauma focus A,Waitlist,msd,IES,itt,post,,self-report,31.51,17.36,20,25.32,20.29,43,47.95,9.41,20,46.3,13.38,43,,,,,,-0.3147302531,0.2721428714,Eye Movement Desensitization and Reprocessing (EMDR) + cognitive behavioral therapy (CBT) without a trauma focus,Waitlist,Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,20,43,85,Trauma-focused,"EMDR followed by CBT. Two introductory sessions with psychoeducation and discussion of grief and social support (introductory session content was the same for all interventions); 3 sessions of EMDR with alternating eye movements following standard Dutch EMDR treatment protocol; 3 sessions of CBT focused on identifying, challenging, and changing negative cognitions related to the loss with use of behavioral experiments and cognitive restructuring.","EMDR: 45 to 90 minutes





CBT: 45 minutes",,8 sessions total,Individual,In Person,Mixed psychotherapy,Psychotherapy,completed the treatment,0.85,,,,Community,1,48.5,The Netherlands,0.7412,Other,homicidally bereaved,Some Concerns,High,High,High,Low,High,1,A vs C,2019,C,ps-ps-ct,Self report,Multilevel analysis with time nested in participants and participants nested in victims; Cohen's d statistics for effect size,Follow-up,-0.315,0.272,A,C,2019,vanDenderen_2018_precalcfromVA_IES_post_NA_self-report_Mixedpsychotherapy_Waitlist_EyeMovementDesensitizationandReprocessing(EMDR)+cognitivebehavioraltherapy(CBT)withoutatraumafocusA_Waitlist,49818,vandenderen2018,,,,,,,7,20,20,43,-0.2843542823591063,0.345834250622541,-0.4792772660310647,0.5596949889446796,"van Denderen M, de Keijser J, Stewart R, et al. Treating complicated grief and posttraumatic stress in homicidally bereaved individuals: a randomized controlled trial. Clin Psychol Psychother. 2018 Feb 26(25):497-508. doi: 10.1002/cpp.2183. PMID: 29479767."
"van Denderen, 2018",Mixed psychotherapy,Waitlist,Cognitive behavioral therapy (CBT) + Eye Desensitization and Reprocessing (EMDR) B,Waitlist,msd,IES,itt,post,,self-report,21.51,15.7,22,25.32,20.29,43,44.77,13.54,22,46.3,13.38,43,,,,,,0.1993427534,0.2627231866,Cognitive behavioral therapy (CBT) + Eye Desensitization and Reprocessing (EMDR),Waitlist,Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,22,43,85,Trauma-focused,"CBT followed by EMDR. Two introductory sessions with psychoeducation and discussion of grief and social support (introductory session content was the same for all interventions); 3 sessions of CBT focused on identifying, challenging, and changing negative cognitions related to the loss with use of behavioral experiments and cognitive restructuring; 3 sessions of EMDR with alternating eye movements following standard Dutch EMDR treatment protocol.","CBT: 45 minutes


EMDR: 45 to 90 minutes",,total 8 sessions,Individual,In Person,Mixed psychotherapy,Psychotherapy,,,,,,Community,1,48.5,The Netherlands,0.7412,Other,homicidally bereaved,Some Concerns,High,High,High,Low,High,1,B vs C,2019,C,ps-ps-ct,Self report,Multilevel analysis with time nested in participants and participants nested in victims; Cohen's d statistics for effect size,Follow-up,0.199,0.263,B,C,2019,vanDenderen_2018_precalcfromVA_IES_post_NA_self-report_Mixedpsychotherapy_Waitlist_Cognitivebehavioraltherapy(CBT)+EyeDesensitizationandReprocessing(EMDR)B_Waitlist,49818,vandenderen2018,,,,,,,11,22,20,43,0.07232066157962608,0.2686982164084032,0.1397619423751588,0.5246869949672347,"van Denderen M, de Keijser J, Stewart R, et al. Treating complicated grief and posttraumatic stress in homicidally bereaved individuals: a randomized controlled trial. Clin Psychol Psychother. 2018 Feb 26(25):497-508. doi: 10.1002/cpp.2183. PMID: 29479767."
"Van der Kolk, 2007",EMDR,Other,,,msd,CAPS,itt,post,8,clinician,32.55,22.5,29,43.55,22.6,29,71.7,11.9,29,74.5,12.5,29,,,,,,0.4812412976,0.2664898334,Eye Movement Desensitization and Reprocessing (EMDR),Placebo,EMDR,EMDR,EMDR,29,29,88,Trauma-focused,"EMDR followed a manual developed for the study that was based on a standard protocol, and targeted trauma memories identified at baseline",,Weekly,,Individual,In Person,EMDR,Psychotherapy & pharmacotherapy,,,,,,Community,1,36.1,U.S.,0.8295,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs C,2019,C,ps-ct,Structured Clinical Interview,"ANCOVA (omnibus and pairwise) for continuous measures, Pearson chi-squared for categorical outcomes",Follow-up,0.481,0.267,A,C,2019,VanderKolk_2007_precalcfromVA_CAPS_post_8.00_clinician_EMDR_Other_NA_NA,29236,vanderkolk2007,,,,,,,16,29,11,29,0.3746934494414107,0.290591764624725,0.7001158498760385,0.534684695299691,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128."
